Long Station Name,Collection Date,EC,Ca,Sacramento X2,Location,Area,WYT,Data
Old River near Rock Slough,6/19/1959,327,19,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,6/19/1959,318,19,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,749,22,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,716,21,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1740,28,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1320,25,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1580,24,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1380,22,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,1000,27,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,937,18,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,644,18,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,621,18,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,509,16,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,486,15,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,10/1/1959,396,15,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/1/1959,352,15,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,345,18,83.58656463,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,281,15,83.58656463,OMR,Interior,D,TT
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,28,60.82383763,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,28,57.81297746,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,35.2,83.16574214,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,14,48.06579729,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,10,50.10640361,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,19,68.77308425,SJRcorridor,Interior,W,TT
Old River South of Rock Slough (St 5A),2/5/1979,468,23,64.2815478,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),2/20/1979,517,26,61.16117032,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),4/2/1979,417,20,56.30420023,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),4/9/1979,409,21,64.68168078,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),5/7/1979,203,13,74.48111623,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),5/21/1979,178,12,73.19414698,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/3/1979,214,11,80.43664007,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/19/1979,395,13,82.51114931,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/31/1979,455,14,81.75511799,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),8/13/1979,592,15,83.32246149,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),8/29/1979,717,16,84.68527652,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),11/6/1979,250,12,80.35169489,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),11/20/1979,227,12,77.49708288,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),12/4/1979,216,13,75.2791345,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),12/17/1979,201,13,79.03917236,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),1/2/1980,223,15,63.56656112,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),1/30/1980,218,12,52.74067557,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),2/14/1980,266,14,67.64537101,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),2/29/1980,227,13,49.08867267,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),3/12/1980,212,12,49.22949664,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),3/26/1980,244,13,56.84018254,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),4/8/1980,303,16,56.38489514,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),4/21/1980,304,18,62.47778168,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/5/1980,318,18,64.64696862,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/12/1980,358,19,65.43895548,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/19/1980,277,15,62.05980719,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/27/1980,277,14,65.09270984,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/10/1980,230,13,69.27641079,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/16/1980,221,14,68.91440792,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/23/1980,221,14,68.0228655,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/30/1980,195,12,70.47262594,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/7/1980,186,12,68.25641473,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/14/1980,172,11,71.65830083,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/21/1980,174,11,71.80905674,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/29/1980,159,11,75.15820048,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),8/6/1980,170,11,76.44358914,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),8/18/1980,204,11,80.02274745,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/3/1980,293,13,80.90049445,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/15/1980,312,14,76.57711741,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/26/1980,265,14,76.604144,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),10/6/1980,236,13,77.15999944,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),10/20/1980,204,12,75.79339987,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),11/3/1980,201,12,78.34640114,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),11/14/1980,219,12,78.251066,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),11/24/1980,225,13,79.91615184,OMR,Interior,D,TT
